"cod","numpedido","dataemissao","mes","ano","nomecliente","produto","qtde","prcunit","total","custounit","margem","estoque","compra"
"2456","12268","4/11/2019","4","2019","CLI3562","4373","1","3.88","1.94","318.616","0.693845","522","NAOCOMPRA"
"2457","2214","4/11/2019","4","2019","CLI3060","4373","1","8.05","4.03","299.216","505.785","432","NAOCOMPRA"
"2458","8220","4/13/2019","4","2019","CLI2259","4373","132","11.97","1580.04","299.216","897.785","361","COMPRA"
"2459","2210","4/15/2019","4","2019","CLI3660","4373","55","10.35","569.25","350.965","684.034","142","COMPRA"
"2460","2194","4/17/2019","4","2019","CLI3455","4373","33","11.44","377.52","333.536","810.464","109","COMPRA"
"2461","2219","4/17/2019","4","2019","CLI3436","4373","22","11.44","1510.08","333.536","810.464","87","COMPRA"
"2462","2222","4/17/2019","4","2019","CLI3451","4373","16","11.44","755.04","333.536","810.464","71","COMPRA"
"2463","2228","4/17/2019","4","2019","CLI3434","4373","18","11.44","377.52","333.536","810.464","53","COMPRA"
"2464","2232","4/17/2019","4","2019","CLI3472","4373","15","11.44","377.52","299.216","844.785","38","COMPRA"
"2465","2235","4/17/2019","4","2019","CLI3465","4373","33","11.44","2642.64","333.536","810.464","5","COMPRA"
"1756","12498","7/5/2019","7","2019","CLI1889","4375","110","3.98","437.8","472.669","-0.746685","652","NAOCOMPRA"
"1757","8601","7/5/2019","7","2019","CLI3562","4375","110","3.98","437.8","472.669","-0.746685","542","NAOCOMPRA"
"1758","2837","7/5/2019","7","2019","CLI3436","4375","475","11.44","1887.6","487.089","656.911","67","COMPRA"
"1759","12511","7/12/2019","7","2019","CLI1889","4375","90","3.98","3940.2","472.669","-0.746685","433","NAOCOMPRA"
"1760","8637","7/12/2019","7","2019","CLI3562","4375","20","3.98","3940.2","472.669","-0.746685","413","NAOCOMPRA"
"1761","2864","7/12/2019","7","2019","CLI3460","4375","165","11.44","1887.6","452.769","691.231","248","COMPRA"
"1762","2865","7/12/2019","7","2019","CLI3488","4375","99","11.44","1132.56","487.089","656.911","149","COMPRA"
"1763","2869","7/12/2019","7","2019","CLI3430","4375","22","11.44","755.04","487.089","656.911","127","COMPRA"
"1764","2873","7/12/2019","7","2019","CLI3436","4375","16","11.44","4907.76","487.089","656.911","111","COMPRA"
"1765","2875","7/12/2019","7","2019","CLI3472","4375","64","11.44","377.52","452.769","691.231","47","COMPRA"
"2814","4073","11/1/2019","11","2019","CLI2085","7","3","6.88","20.64","862.731","-174.731","393","NAOCOMPRA"
"2815","9213","11/5/2019","11","2019","CLI3795","7","70","18.38","1286.6","920.231","917.769","232","COMPRA"
"2816","4114","11/6/2019","11","2019","CLI1889","7","1","6.88","275.2","862.731","-174.731","231","NAOCOMPRA"
"2817","9249","11/6/2019","11","2019","CLI87","7","115","16.94","508.2","913.031","780.969","116","COMPRA"
"2818","9248","11/6/2019","11","2019","CLI2474","7","10","17.28","172.8","914.731","813.269","700","NAOCOMPRA"
"2819","4111","11/8/2019","11","2019","CLI3721","7","10","15.85","158.5","907.581","677.419","690","NAOCOMPRA"
"2820","4127","11/8/2019","11","2019","CLI2085","7","3","6.88","20.64","862.731","-174.731","687","NAOCOMPRA"
"2821","4168","11/12/2019","11","2019","CLI1889","7","28","6.88","7636.8","862.731","-174.731","659","NAOCOMPRA"
"626","8402","5/14/2019","5","2019","CLI3592","4416","387","9.81","215.82","438.227","542.773","116","COMPRA"
"627","2433","5/17/2019","5","2019","CLI3673","4416","187","10.13","1894.31","438.227","574.773","821","NAOCOMPRA"
"628","2490","5/21/2019","5","2019","CLI1889","4416","44","3.96","174.24","458.027","-0.620265","777","NAOCOMPRA"
"629","8423","5/21/2019","5","2019","CLI2091","4416","700","10.1","444.4","488.727","521.273","77","COMPRA"
"630","2500","5/22/2019","5","2019","CLI1889","4416","33","3.96","130.68","458.027","-0.620265","580","NAOCOMPRA"
"631","2500","5/22/2019","5","2019","CLI1889","4416","55","3.96","217.8","458.027","-0.620265","525","NAOCOMPRA"
"632","8425","5/22/2019","5","2019","CLI3226","4416","55","9.31","512.05","438.227","492.773","470","NAOCOMPRA"
"1985","4154","11/13/2019","11","2019","CLI3488","4375","5","11.44","1887.6","486.387","657.613","77","COMPRA"
"1986","4197","11/18/2019","11","2019","CLI3436","4375","3","11.44","9438","486.387","657.613","74","COMPRA"
"1987","4199","11/18/2019","11","2019","CLI3519","4375","2","11.44","377.52","486.387","657.613","72","COMPRA"
"1988","4204","11/18/2019","11","2019","CLI3455","4375","4","11.44","755.04","486.387","657.613","68","COMPRA"
"1989","4205","11/18/2019","11","2019","CLI3490","4375","6","11.44","755.04","486.387","657.613","62","COMPRA"
"1990","4206","11/18/2019","11","2019","CLI3465","4375","9","11.44","1132.56","486.387","657.613","53","COMPRA"
"1991","4207","11/18/2019","11","2019","CLI3462","4375","8","11.44","755.04","486.387","657.613","45","COMPRA"
"1992","4209","11/18/2019","11","2019","CLI3443","4375","4","11.44","1132.56","486.387","657.613","41","COMPRA"
"1993","9267","11/18/2019","11","2019","CLI3226","4375","1","12.45","547.8","452.067","792.933","481","NAOCOMPRA"
"1994","4218","11/19/2019","11","2019","CLI1889","4375","4","4.04","444.4","472.267","-0.682669","477","NAOCOMPRA"
965,"2214","4/11/2019","4","2019","CLI3060","4387","1","6.59","3.3","438.227","220.773","516","NAOCOMPRA"
966,"2239","4/13/2019","4","2019","CLI1889","4387","33","3.96","130.68","458.027","-0.620265","515","NAOCOMPRA"
967,"8257","4/13/2019","4","2019","CLI2259","4387","320","10.62","350.46","438.227","623.773","482","COMPRA"
968,"8283","4/13/2019","4","2019","CLI2259","4387","2","10.62","116.82","438.227","623.773","162","COMPRA"
969,"2260","4/17/2019","4","2019","CLI1889","4387","1","3.96","1306.8","458.027","-0.620265","622","NAOCOMPRA"
970,"8327","4/17/2019","4","2019","CLI3503","4387","16","10.45","3448.5","490.477","554.523","621","NAOCOMPRA"
971,"2262","4/17/2019","4","2019","CLI1889","4387","432","3.96","566.28","458.027","-0.620265","605","NAOCOMPRA"
972,"8335","4/17/2019","4","2019","CLI3226","4387","33","9.31","307.23","438.227","492.773","173","COMPRA"
973,"8337","4/17/2019","4","2019","CLI3226","4387","110","9.31","1024.1","438.227","492.773","615","NAOCOMPRA"
974,"2297","4/23/2019","4","2019","CLI1889","4387","154","3.96","609.84","458.027","-0.620265","505","NAOCOMPRA"
1466,"4429","12/17/2019","12","2019","CLI3472","4376","33","11.44","377.52","49.865","64.535","215","COMPRA"
1467,"4432","12/17/2019","12","2019","CLI3466","4376","78","11.44","377.52","49.865","64.535","137","COMPRA"
1468,"4436","12/17/2019","12","2019","CLI3519","4376","26","11.44","11325.6","49.865","64.535","111","COMPRA"
1469,"4426","12/23/2019","12","2019","CLI3436","4376","33","11.44","377.52","49.865","64.535","78","COMPRA"
1470,"4473","12/23/2019","12","2019","CLI3430","4376","11","11.44","1887.6","49.865","64.535","67","COMPRA"
1471,"4477","12/23/2019","12","2019","CLI3438","4376","34","11.44","1510.08","49.865","64.535","33","COMPRA"
1472,"4480","12/23/2019","12","2019","CLI3587","4376","7","11.44","377.52","49.865","64.535","26","COMPRA"
1473,"4481","12/23/2019","12","2019","CLI3434","4376","11","11.44","377.52","49.865","64.535","15","COMPRA"
1474,"4483","12/23/2019","12","2019","CLI3451","4376","4","11.44","755.04","49.865","64.535","11","COMPRA"
1475,"4486","12/23/2019","12","2019","CLI3453","4376","6","11.44","377.52","49.865","64.535","5","COMPRA"
1879,"3438","9/26/2019","9","2019","CLI3496","4375","33","11.44","377.52","505.277","638.723","154","COMPRA"
1880,"3441","9/26/2019","9","2019","CLI3441","4375","33","11.44","377.52","505.277","638.723","121","COMPRA"
1881,"3445","9/26/2019","9","2019","CLI3436","4375","16","11.44","3775.2","505.277","638.723","105","COMPRA"
1882,"3446","9/26/2019","9","2019","CLI3470","4375","11","11.44","377.52","505.277","638.723","94","COMPRA"
1883,"3451","9/26/2019","9","2019","CLI3462","4375","9","11.44","755.04","505.277","638.723","85","COMPRA"
1884,"3465","9/26/2019","9","2019","CLI3496","4375","14","11.44","1510.08","505.277","638.723","71","COMPRA"
1885,"3499","9/26/2019","9","2019","CLI3443","4375","28","11.44","1887.6","505.277","638.723","43","COMPRA"
1886,"3520","9/26/2019","9","2019","CLI3464","4375","34","11.44","755.04","505.277","638.723","9","COMPRA"
1887,"3537","9/26/2019","9","2019","CLI3519","4375","2","11.44","755.04","505.277","638.723","7","COMPRA"
1888,"3694","10/2/2019","10","2019","CLI1889","4375","5","4.05","222.75","491.207","-0.862074","914","NAOCOMPRA"
2309,"3636","9/30/2019","9","2019","CLI3443","4374","28","11.44","320.32","505.277","638.723","115","COMPRA"
2310,"3694","10/2/2019","10","2019","CLI1889","4374","18","4.05","445.5","491.207","-0.862074","487","NAOCOMPRA"
2311,"9018","10/2/2019","10","2019","CLI3424","4374","15","10.74","1181.4","470.957","603.043","472","NAOCOMPRA"
2312,"3686","10/3/2019","10","2019","CLI3429","4374","286","11.44","1921.92","505.277","638.723","186","COMPRA"
2313,"3614","10/3/2019","10","2019","CLI3731","4374","1","8.05","2.74","470.957","334.043","671","NAOCOMPRA"
2314,"3614","10/3/2019","10","2019","CLI3731","4374","487","8.06","1.29","470.957","335.043","184","COMPRA"
2315,"3865","10/21/2019","10","2019","CLI3490","4374","99","11.44","1132.56","505.277","638.723","85","COMPRA"
2316,"3915","10/24/2019","10","2019","CLI3448","4374","15","11.44","686.4","505.277","638.723","70","COMPRA"
2317,"3920","10/24/2019","10","2019","CLI3436","4374","27","11.44","1635.92","505.277","638.723","43","COMPRA"
2318,"3958","10/24/2019","10","2019","CLI3488","4374","36","11.44","1510.08","505.277","638.723","7","COMPRA"
"1","1371","1/3/2019","1","2019","CLI3460","5140","240","23.64","5673.6","10.232","13.408","530","COMPRA"
"2","1378","1/3/2019","1","2019","CLI3433","5140","48","23.64","1134.72","10.232","13.408","563","COMPRA"
"3","1388","1/3/2019","1","2019","CLI3455","5140","16","23.64","378.24","10.232","13.408","229","COMPRA"
"4","1391","1/3/2019","1","2019","CLI3587","5140","8","23.64","189.12","10.232","13.408","269","COMPRA"
"5","NULL","1/3/2019","1","2019","CLI3472","5140","8","23.64","189.12","9","14.59","119","COMPRA"
"6","NULL","1/3/2019","1","2019","CLI3462","5140","24","23.64","567.36","10.232","13.408","341","COMPRA"
"7","NULL","1/3/2019","1","2019","CLI3434","5140","72","23.64","1702.08","10.232","13.408","34","COMPRA"
"8","NULL","1/4/2019","1","2019","CLI3420","5140","8","25","200","10","15","152","COMPRA"
"9","NULL","1/7/2019","1","2019","CLI3194","5140","8","23.64","189.12","9","15","256","COMPRA"
"10","NULL","1/7/2019","1","2019","CLI3194","5140","32","23.64","756.48","9","14.59","19","COMPRA"
"715","12843","10/30/2019","10","2019","CLI1889","4416","88","3.96","348.48","484.917","-1","715","NAOCOMPRA"
"716","9211","10/30/2019","10","2019","CLI3562","4416","88","3.96","348.48","484.917","-1","627","NAOCOMPRA"
"717","3737","10/31/2019","10","2019","CLI2998","4416","571","9.63","847.44","494.007","468.993","56","COMPRA"
"718","12860","11/5/2019","11","2019","CLI1889","4416","110","3.96","435.6","484.917","-1","567","NAOCOMPRA"
"719","4059","11/6/2019","11","2019","CLI3446","4416","299","6.59","6.59","465.117","193.883","268","COMPRA"
"720","4059","11/6/2019","11","2019","CLI3446","4416","146","6.59","6.59","465.117","193.883","122","COMPRA"
"721","12878","11/12/2019","11","2019","CLI1889","4416","55","3.96","217.8","484.917","-1","677","NAOCOMPRA"
"722","9272","11/12/2019","11","2019","CLI3562","4416","55","3.96","217.8","484.917","-1","622","NAOCOMPRA"
"723","4003","11/12/2019","11","2019","CLI3194","4416","427","9.63","529.65","494.007","468.993","195","COMPRA"
"551","1476","1/14/2019","1","2019","CLI12","4416","11","9.42","103.62","6","3","754","NAOCOMPRA"
"1721","2676","6/12/2019","6","2019","CLI3440","4375","231","11.44","2642.64","452.769","691.231","461","COMPRA"
"1722","2678","6/12/2019","6","2019","CLI3443","4375","33","11.44","377.52","487.089","656.911","230","COMPRA"
"1723","2659","6/12/2019","6","2019","CLI3587","4375","66","11.44","755.04","487.089","656.911","197","COMPRA"
"1724","2701","6/12/2019","6","2019","CLI1889","4375","198","3.98","788.04","472.669","-1","842","NAOCOMPRA"
"1725","8432","6/12/2019","6","2019","CLI2259","4375","351","11.97","1975.05","452.769","744.231","491","COMPRA"
"1726","8501","6/12/2019","6","2019","CLI2259","4375","33","11.97","395.01","452.769","744.231","458","COMPRA"
"1727","2656","6/18/2019","6","2019","CLI3493","4375","33","11.44","377.52","452.769","691.231","425","COMPRA"
"1728","2714","6/18/2019","6","2019","CLI3430","4375","132","11.44","1510.08","487.089","656.911","293","COMPRA"
"1729","2720","6/18/2019","6","2019","CLI3587","4375","12","11.44","755.04","487.089","656.911","281","COMPRA"
"1738","12487","7/2/2019","7","2019","CLI1889","4375","132","3.98","525.36","472.669","-0.746685","875","NAOCOMPRA"
"2240","2560","5/31/2019","5","2019","CLI3443","4374","66","11.44","755.04","333.536","810.464","99","COMPRA"
"2241","12417","5/31/2019","5","2019","CLI1889","4374","396","1.23","487.08","305.365","-182.366","327","NAOCOMPRA"
"2242","8460","5/31/2019","5","2019","CLI3562","4374","19","1.23","487.08","305.365","-182.366","308","NAOCOMPRA"
"2243","2523","6/4/2019","6","2019","CLI3194","4374","66","11.44","755.04","452.769","691.231","242","COMPRA"
"2244","2586","6/4/2019","6","2019","CLI3194","4374","33","11.44","377.52","452.769","691.231","209","COMPRA"
"2245","2482","6/10/2019","6","2019","CLI3438","4374","15","11.44","1887.6","487.089","656.911","194","COMPRA"
"2246","2536","6/10/2019","6","2019","CLI3429","4374","66","11.44","755.04","487.089","656.911","128","COMPRA"
"2247","2551","6/10/2019","6","2019","CLI3461","4374","16","11.44","2642.64","487.089","656.911","112","COMPRA"
"2248","2584","6/10/2019","6","2019","CLI3466","4374","33","11.44","377.52","452.769","691.231","79","COMPRA"
"2249","2603","6/10/2019","6","2019","CLI3433","4374","33","11.44","377.52","487.089","656.911","46","COMPRA"
"2424","2205","4/8/2019","4","2019","CLI3060","4373","110","10.58","1163.8","352115","705885","458","NAOCOMPRA"
"2425","2208","4/8/2019","4","2019","CLI1889","4373","132","3.88","512.16","318616","0.693845","183","NAOCOMPRA"
"2426","2208","4/8/2019","4","2019","CLI1889","4373","10","3.88","38.8","318616","0.693845","468","NAOCOMPRA"
"2427","8225","4/8/2019","4","2019","CLI2259","4373","10","11.97","119.7","299216","897785","128","COMPRA"
"2428","1967","4/8/2019","4","2019","CLI3430","4373","99","11.44","1132.56","333536","810464","29","COMPRA"
"2429","1976","4/8/2019","4","2019","CLI3434","4373","4","11.44","377.52","333536","810464","25","COMPRA"
"2430","1995","4/8/2019","4","2019","CLI3470","4373","15","11.44","755.04","299216","844785","10","COMPRA"
"2431","2014","4/8/2019","4","2019","CLI3466","4373","7","11.44","377.52","299216","844785","3","COMPRA"
"2432","2018","4/8/2019","4","2019","CLI3436","4373","2","11.44","755.04","333536","810464","1","COMPRA"
"2433","2029","4/8/2019","4","2019","CLI3448","4373","1","11.44","755.04","299216","844785","0","COMPRA"
